1,a,1,a
9,a capella,7,akapEla
10,a cappella,7,akapEla
11,a contrario,9,ak§tRaRjo
10,a fortiori,9,afORsjoRi
8,a giorno,8,adZjORno
10,a l'instar,7,al5staR
12,a posteriori,11,apOsteRjoRi
8,a priori,8,apRijoRi
2,aa,2,aa
10,ab absurdo,9,abapsuRdo
9,ab initio,8,abinisjo
6,ab ovo,5,abovo
5,abaca,5,abaka
9,abaissant,5,abEs@
7,abaisse,4,abEs
14,abaisse-langue,7,abEsl@g
11,abaissement,7,abEs°m@
8,abaisser,5,abese
7,abaissé,5,abese
7,abalone,6,abalOn
7,abandon,5,ab@d§
10,abandonner,7,ab@done
12,abandonnique,8,ab@donik
9,abandonné,7,ab@done
6,abaque,4,abak
9,abasourdi,8,abazuRdi
10,abasourdir,9,abazuRdiR
14,abasourdissant,10,abazuRdis@
4,abat,3,aba
9,abat-jour,6,abaZuR
8,abat-son,5,abas§
7,abatage,6,abataZ
6,abatis,5,abati
8,abattage,6,abataZ
8,abattant,5,abat@
10,abattement,7,abat°m@
8,abatteur,6,abat9R
7,abattis,5,abati
8,abattoir,7,abatwaR
7,abattre,5,abatR
6,abattu,5,abaty
8,abbatial,7,abasjal
9,abbatiale,7,abasjal
6,abbaye,4,abei
4,abbé,3,abe
3,abc,5,abese
5,abcès,4,apsE
10,abdication,9,abdikasj§
8,abdiquer,6,abdike
7,abdomen,7,abdomEn
9,abdominal,9,abdominal
5,abdos,4,abdo
9,abducteur,8,abdykt9R
9,abduction,8,abdyksj§
7,abeille,4,abEj
4,aber,3,abe
8,aberrant,5,abER@
10,aberration,8,abERasj§
8,abhorrer,5,abORe
7,abhorré,5,abORe
6,abject,6,abZEkt
11,abjectement,9,abZEkt°m@
9,abjection,8,abZEksj§
10,abjuration,9,abZyRasj§
7,abjurer,6,abZyRe
7,abkhaze,5,abkaz
7,ablatif,7,ablatif
8,ablation,7,ablasj§
4,able,3,abl
7,ablette,5,ablEt
8,ablution,7,ablysj§
10,abnégation,9,abnegasj§
4,aboi,4,abwa
9,aboiement,6,abwam@
5,aboli,5,aboli
6,abolir,6,aboliR
9,abolition,8,abolisj§
14,abolitionniste,12,abolisjonist
10,abominable,9,abominabl
14,abominablement,12,abominabl°m@
11,abomination,10,abominasj§
8,abominer,7,abomine
11,abondamment,7,ab§dam@
9,abondance,6,ab§d@s
8,abondant,5,ab§d@
7,abonder,5,ab§de
10,abonnement,7,abOn°m@
7,abonner,5,abone
6,abonné,5,abone
5,abord,4,abOR
9,abordable,8,abORdabl
8,abordage,7,abORdaZ
7,aborder,6,abORde
6,abordé,6,abORde
9,aborigène,8,aboRiZEn
10,abornement,8,abORn°m@
7,abortif,7,abORtif
8,aboucher,5,abuSe
7,abouler,5,abule
7,aboulie,5,abuli
9,aboulique,6,abulik
5,about,3,abu
6,abouti,5,abuti
7,aboutir,6,abutiR
11,aboutissant,7,abutis@
13,aboutissement,9,abutis°m@
7,aboyant,6,abwaj@
6,aboyer,6,abwaje
7,aboyeur,7,abwaj9R
11,abracadabra,11,abRakadabRa
13,abracadabrant,11,abRakadabR@
7,abrasif,7,abRazif
8,abrasion,7,abRazj§
7,abraxas,8,abRaksas
9,abreuvage,7,abR9vaZ
8,abreuver,6,abR9ve
9,abreuvoir,8,abR9vwaR
