ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
a	a	a	NOM	m		81.36	58.65	81.36	58.65		3	9	1	1	1	V	V	25	20	1	1	a	1	V	a	a	a	NOM,AUX,VER			1	1	a	1
a	a	avoir	AUX			18559.22	12800.81	6350.91	2926.69	ind:pre:3s;	3	9	0	1	1	V	V	25	20	1	1	a	1	V	a	a	a	NOM,AUX,VER			1	1	avoir	1
a	a	avoir	VER			13572.40	6426.49	5498.34	1669.39	ind:pre:3s;	3	9	0	1	1	V	V	25	20	1	1	a	1	V	a	a	a	NOM,AUX,VER	93	16	1	1	avoir	1
a capella	akapEla	a capella	ADV			0.04	0.07	0.04	0.07		1	2	1	9	7	V CVCVCCV	VCVCVCV	0	0	6	5	a-ka-pE-la	4	V-CV-CV-CV	allepac a	alEpaka	a ca-pel-la	ADV			3.85	2.85	a-capella	2
a cappella	akapEla	a cappella	ADV			0.04	0.07	0.04	0.07		1	2	1	10	7	V CVCCVCCV	VCVCVCV	0	0	6	5	a-ka-pE-la	4	V-CV-CV-CV	alleppac a	alEpaka	a cap-pel-la	ADV			4.6	2.85	a-cappella	2
a contrario	ak§tRaRjo	a contrario	ADV			0.00	0.27	0.00	0.27		1	1	1	11	9	V CVCCCVCVV	VCVCCVCYV	0	0	4	5	a-k§-tRa-Rjo	4	V-CV-CCV-CYV	oirartnoc a	ojRaRt§ka	a con-tra-rio	ADV			4.3	3.3	a-contrario	2
a fortiori	afORsjoRi	a fortiori	ADV			0.04	0.88	0.04	0.88		1	2	1	10	9	V CVCCVVCV	VCVCCYVCV	1	0	3	4	a-fOR-sjo-Ri	4	V-CVC-CYV-CV	iroitrof a	iRojsROfa	a for-tio-ri	ADV			4.4	3.95	a-fortiori	2
a giorno	adZjORno	a giorno	ADV			0.00	0.27	0.00	0.27		1	2	1	8	8	V CVVCCV	VCCYVCCV	1	0	3	4	ad-ZjOR-no	3	VC-CYVC-CV	onroig a	onROjZda	a gior-no	ADV			3.85	3.85	a-giorno	2
a jeun	aZ1	à jeun	ADV			1.45	3.85	0.18	0.00		1	2	0	6	3	V CVVC	VCV	1	6	0	3	a-Z1	2	V-CV	nuej a	1Za	a jeun	ADV			2.9	1.6	à-jeun	2
a l'instar	al5staR	a l'instar	PRE			0.26	0.00	0.26	0.00		1	2	1	10	7	V C'VCCCVC	VCVCCVC	1	0	3	4	a-l5s-taR	3	V-CVC-CVC	ratsni'l a	Rats5la	a l'ins-tar	PRE			4.8	3	a-l'instar	2
a posteriori	apOsteRjoRi	a posteriori	ADV			0.05	0.20	0.01	0.14		1	2	1	12	11	V CVCCVCVVCV	VCVCCVCYVCV	1	0	4	6	a-pOs-te-Rjo-Ri	5	V-CVC-CV-CYV-CV	iroiretsop a	iRojRetsOpa	a pos-te-rio-ri	ADV			4.7	4.8	a-posteriori	2
a priori	apRijoRi	a priori	ADV			1.04	3.85	0.63	2.57		2	3	1	8	8	V CCVVCV	VCCVYVCV	1	0	4	5	a-pRi-jo-Ri	4	V-CCV-YV-CV	iroirp a	iRojiRpa	a prio-ri	ADV,NOM			3.8	3.25	a-priori	2
a priori	apRijoRi	a priori	NOM	m		0.41	0.47	0.41	0.47		2	3	1	8	8	V CCVVCV	VCCVYVCV	1	0	4	5	a-pRi-jo-Ri	4	V-CCV-YV-CV	iroirp a	iRojiRpa	a prio-ri	ADV,NOM	93	16	3.8	3.25	a-priori	2
aa	aa	aa	NOM	m	s	0.01	0.00	0.01	0.00		1	2	1	2	2	VV	VV	20	35	2	2	a-a	2	V-V	aa	aa		NOM			1	1	aa	1
ab absurdo	abapsuRdo	ab absurdo	ADV			0.00	0.07	0.00	0.07		1	1	1	10	9	VC VCCVCCV	VCVCCVCCV	0	0	4	4	a-bap-suR-do	4	V-CVC-CVC-CV	odrusba ba	odRuspaba	ab ab-sur-do	ADV			5.05	4.45	ab-absurdo	2
ab initio	abinisjo	ab initio	ADV			0.01	0.07	0.01	0.07		1	1	1	9	8	VC VCVCVV	VCVCVCYV	0	0	4	4	a-bi-ni-sjo	4	V-CV-CV-CYV	oitini ba	ojsiniba	ab i-ni-tio	ADV			4.3	3.1	ab-initio	2
ab ovo	abovo	ab ovo	ADV			0.00	0.27	0.00	0.27		1	1	1	6	5	VC VCV	VCVCV	0	0	4	4	a-bo-vo	3	V-CV-CV	ovo ba	ovoba	ab o-vo	ADV			3	2.35	ab-ovo	2
abaca	abaka	abaca	NOM	m	s	0.01	0.00	0.01	0.00		1	1	1	5	5	VCVCV	VCVCV	0	1	4	5	a-ba-ka	3	V-CV-CV	acaba	akaba		NOM			2	1.9	abaca	1
abaissa	abEsa	abaisser	VER			4.93	18.04	0.00	2.64	ind:pas:3s;	1	1	0	7	5	VCVVCCV	VCVCV	2	5	0	0	a-bE-sa	3	V-CV-CV	assiaba	asEba	a-bais-sa	VER	100	25	1.75	1.55	abaisser	1
abaissai	abEsE	abaisser	VER			4.93	18.04	0.10	0.07	ind:pas:1s;	1	3	0	8	5	VCVVCCVV	VCVCV	0	5	0	0	a-bE-sE	3	V-CV-CV	iassiaba	EsEba	a-bais-sai	VER	100	25	1.85	1.5	abaisser	1
abaissaient	abEsE	abaisser	VER			4.93	18.04	0.00	0.41	ind:imp:3p;	1	3	0	11	5	VCVVCCVVVCC	VCVCV	0	5	0	0	a-bE-sE	3	V-CV-CV	tneiassiaba	EsEba	a-bais-saient	VER	100	25	1.9	1.5	abaisser	1
abaissait	abEsE	abaisser	VER			4.93	18.04	0.02	2.50	ind:imp:3s;	1	3	0	9	5	VCVVCCVVC	VCVCV	1	5	0	0	a-bE-sE	3	V-CV-CV	tiassiaba	EsEba	a-bais-sait	VER	100	25	1.8	1.5	abaisser	1
abaissant	abEs@	abaissant	ADJ	m	s	0.04	0.27	0.03	0.27		2	2	1	9	5	VCVVCCVCC	VCVCV	2	6	7	5	a-bE-s@	3	V-CV-CV	tnassiaba	@sEba	a-bais-sant	ADJ,VER	100	19	1.75	1.45	a-baissant	2
abaissant	abEs@	abaisser	VER			4.93	18.04	0.01	2.50	par:pre;	2	2	0	9	5	VCVVCCVCC	VCVCV	2	6	7	5	a-bE-s@	3	V-CV-CV	tnassiaba	@sEba	a-bais-sant	ADJ,VER	100	25	1.75	1.45	abaisser	1
abaissante	abEs@t	abaissant	ADJ	f	s	0.04	0.27	0.01	0.00		1	1	0	10	6	VCVVCCVCCV	VCVCVC	0	1	0	0	a-bE-s@t	3	V-CV-CVC	etnassiaba	t@sEba		ADJ	100	19	2.5	1.9	a-baissant	2
abaisse	abEs	abaisse	NOM	f	s	0.02	0.00	0.02	0.00		2	6	1	7	4	VCVVCCV	VCVC	2	4	7	4	a-bEs	2	V-CVC	essiaba	sEba	a-bais-se	NOM,VER	42	21	1.6	1.4	a-baisser	2
abaisse	abEs	abaisser	VER			4.93	18.04	1.28	3.45	imp:pre:2s;ind:pre:1s;ind:pre:3s;	2	6	0	7	4	VCVVCCV	VCVC	2	4	7	4	a-bEs	2	V-CVC	essiaba	sEba	a-bais-se	NOM,VER	100	25	1.6	1.4	abaisser	1
abaisse-langue	abEsl@g	abaisse-langue	NOM	m		0.04	0.14	0.04	0.14		1	1	1	14	7	VCVVCCV-CVCCVV	VCVCCVC	0	0	8	5	a-bE-sl@g	3	V-CV-CCVC	eugnal-essiaba	g@lsEba	abaisse-langue	NOM			6.3	2.85	abaisse-langue	2
abaissement	abEs°m@	abaissement	NOM	m	s	0.31	2.16	0.31	2.16		1	1	1	11	7	VCVVCCVCVCC	VCVCVCV	0	1	8	5	a-bE-s°-m@	4	V-CV-CV-CV	tnemessiaba	@m°sEba	a-bais-se-ment	NOM	100	28	2.25		a-baisser-ment	3
abaissent	abEs	abaisser	VER			4.93	18.04	0.05	0.95	ind:pre:3p;	1	6	0	9	4	VCVVCCVCC	VCVC	1	4	0	4	a-bEs	2	V-CVC	tnessiaba	sEba	a-bais-sent	VER	100	25	1.85	1.4	abaisser	1
abaisser	abese	abaisser	VER			4.93	18.04	1.09	2.91	inf;	1	10	1	8	5	VCVVCCVC	VCVCV	2	2	8	5	a-be-se	3	V-CV-CV	ressiaba	eseba	a-bais-ser	VER	100	25	1.7	1.8	abaisser	1
abaissera	abEs°Ra	abaisser	VER			4.93	18.04	0.19	0.07	ind:fut:3s;	1	1	0	9	7	VCVVCCVCV	VCVCVCV	0	1	0	0	a-bE-s°-Ra	4	V-CV-CV-CV	aressiaba	aR°sEba	a-bais-se-ra	VER	100	25	1.8		abaisser	1
abaisserai	abEs°RE	abaisser	VER			4.93	18.04	0.10	0.07	ind:fut:1s;	1	4	0	10	7	VCVVCCVCVV	VCVCVCV	0	2	0	0	a-bE-s°-RE	4	V-CV-CV-CV	iaressiaba	ER°sEba	a-bais-se-rai	VER	100	25	2.05		abaisser	1
abaisseraient	abEs°RE	abaisser	VER			4.93	18.04	0.01	0.07	cnd:pre:3p;	1	4	0	13	7	VCVVCCVCVVVCC	VCVCVCV	0	2	0	0	a-bE-s°-RE	4	V-CV-CV-CV	tneiaressiaba	ER°sEba	a-bais-se-raient	VER	100	25	2.55		abaisser	1
abaisserais	abEs°RE	abaisser	VER			4.93	18.04	0.13	0.00	cnd:pre:1s;cnd:pre:2s;	1	4	0	11	7	VCVVCCVCVVC	VCVCVCV	1	2	0	0	a-bE-s°-RE	4	V-CV-CV-CV	siaressiaba	ER°sEba	a-bais-se-rais	VER	100	25	2.25		abaisser	1
abaisserait	abEs°RE	abaisser	VER			4.93	18.04	0.02	0.20	cnd:pre:3s;	1	4	0	11	7	VCVVCCVCVVC	VCVCVCV	1	2	0	0	a-bE-s°-RE	4	V-CV-CV-CV	tiaressiaba	ER°sEba	a-bais-se-rait	VER	100	25	2.15		abaisser	1
abaisses	abEs	abaisser	VER			4.93	18.04	0.16	0.07	ind:pre:2s;	1	6	0	8	4	VCVVCCVC	VCVC	3	4	0	4	a-bEs	2	V-CVC	sessiaba	sEba	a-bais-ses	VER	100	25	1.65	1.4	abaisser	1
abaissez	abEse	abaisser	VER			4.93	18.04	0.53	0.07	imp:pre:2p;ind:pre:2p;	1	1	0	8	5	VCVVCCVC	VCVCV	2	5	0	0	a-bE-se	3	V-CV-CV	zessiaba	esEba	a-bais-sez	VER	100	25	1.75	1.6	abaisser	1
abaissons	abEs§	abaisser	VER			4.93	18.04	0.02	0.00	imp:pre:1p;	1	1	0	9	5	VCVVCCVCC	VCVCV	0	5	0	0	a-bE-s§	3	V-CV-CV	snossiaba	§sEba	a-bais-sons	VER	100	25	1.95	1.65	abaisser	1
abaissèrent	abEsER	abaisser	VER			4.93	18.04	0.00	0.41	ind:pas:3p;	1	1	0	11	6	VCVVCCVCVCC	VCVCVC	0	1	0	0	a-bE-sER	3	V-CV-CVC	tnerèssiaba	REsEba	a-bais-sè-rent	VER	100	25	2.45	1.85	abaisser	1
abaissé	abese	abaisser	VER	m	s	4.93	18.04	0.74	1.35	par:pas;	2	10	0	7	5	VCVVCCV	VCVCV	2	2	7	5	a-be-se	3	V-CV-CV	éssiaba	eseba	a-bais-sé	VER,ADJ	100	25	1.7	1.8	abaisser	1
abaissé	abese	abaissé	ADJ	m	s	0.07	0.74	0.03	0.20		2	10	1	7	5	VCVVCCV	VCVCV	2	2	7	5	a-be-se	3	V-CV-CV	éssiaba	eseba	a-bais-sé	VER,ADJ	100	23	1.7	1.8	a-baissé	2
abaissée	abese	abaisser	VER	f	s	4.93	18.04	0.17	0.27	par:pas;	2	10	0	8	5	VCVVCCVV	VCVCV	1	2	0	5	a-be-se	3	V-CV-CV	eéssiaba	eseba	a-bais-sée	VER,ADJ	100	25	1.7	1.8	abaisser	1
abaissée	abese	abaissé	ADJ	f	s	0.07	0.74	0.00	0.20		2	10	0	8	5	VCVVCCVV	VCVCV	1	2	0	5	a-be-se	3	V-CV-CV	eéssiaba	eseba	a-bais-sée	VER,ADJ	100	23	1.7	1.8	a-baissé	2
abaissées	abese	abaisser	VER	f	p	4.93	18.04	0.01	0.00	par:pas;	2	10	0	9	5	VCVVCCVVC	VCVCV	0	2	0	5	a-be-se	3	V-CV-CV	seéssiaba	eseba	a-bais-sées	VER,ADJ	100	25	1.75	1.8	abaisser	1
abaissées	abese	abaissé	ADJ	f	p	0.07	0.74	0.02	0.27		2	10	0	9	5	VCVVCCVVC	VCVCV	0	2	0	5	a-be-se	3	V-CV-CV	seéssiaba	eseba	a-bais-sées	VER,ADJ	100	23	1.75	1.8	a-baissé	2
abaissés	abese	abaisser	VER	m	p	4.93	18.04	0.30	0.07	par:pas;	2	10	0	8	5	VCVVCCVC	VCVCV	2	2	0	5	a-be-se	3	V-CV-CV	séssiaba	eseba	a-bais-sés	VER,ADJ	100	25	1.75	1.8	abaisser	1
abaissés	abese	abaissé	ADJ	m	p	0.07	0.74	0.01	0.07		2	10	0	8	5	VCVVCCVC	VCVCV	2	2	0	5	a-be-se	3	V-CV-CV	séssiaba	eseba	a-bais-sés	VER,ADJ	100	23	1.75	1.8	a-baissé	2
abalone	abalOn	abalone	NOM	m	s	0.01	0.07	0.01	0.00		1	2	1	7	6	VCVCVCV	VCVCVC	0	0	4	4	a-ba-lOn	3	V-CV-CVC	enolaba	nOlaba	a-ba-lo-ne	NOM	21	23	2.8	2.15	abalone	1
abalones	abalOn	abalone	NOM	m	p	0.01	0.07	0.00	0.07		1	2	0	8	6	VCVCVCVC	VCVCVC	0	0	0	4	a-ba-lOn	3	V-CV-CVC	senolaba	nOlaba	a-ba-lo-nes	NOM	21	23	2.75	2.15	abalone	1
abandon	ab@d§	abandon	NOM	m	s	4.84	27.36	4.77	25.20		1	2	1	7	5	VCVCCVC	VCVCV	0	1	7	5	a-b@-d§	3	V-CV-CV	nodnaba	§d@ba	a-ban-don	NOM	95	22	2.6	1.95	abandonner	1
abandonna	ab@dona	abandonner	VER			110.87	128.45	0.59	8.92	ind:pas:3s;	1	3	0	9	7	VCVCCVCCV	VCVCVCV	2	4	0	0	a-b@-do-na	4	V-CV-CV-CV	annodnaba	anod@ba	a-ban-don-na	VER	100	16	2	2	abandonner	1
abandonnai	ab@donE	abandonner	VER			110.87	128.45	0.27	2.16	ind:pas:1s;	1	4	0	10	7	VCVCCVCCVV	VCVCVCV	1	4	0	0	a-b@-do-nE	4	V-CV-CV-CV	iannodnaba	Enod@ba	a-ban-don-nai	VER	100	16	2.1	1.8	abandonner	1
abandonnaient	ab@donE	abandonner	VER			110.87	128.45	0.07	1.55	ind:imp:3p;	1	4	0	13	7	VCVCCVCCVVVCC	VCVCVCV	0	4	0	0	a-b@-do-nE	4	V-CV-CV-CV	tneiannodnaba	Enod@ba	a-ban-don-naient	VER	100	16	2.85	1.8	abandonner	1
abandonnais	ab@donE	abandonner	VER			110.87	128.45	0.35	1.49	ind:imp:1s;ind:imp:2s;	1	4	0	11	7	VCVCCVCCVVC	VCVCVCV	1	4	0	0	a-b@-do-nE	4	V-CV-CV-CV	siannodnaba	Enod@ba	a-ban-don-nais	VER	100	16	2.35	1.8	abandonner	1
abandonnait	ab@donE	abandonner	VER			110.87	128.45	1.04	9.46	ind:imp:3s;	1	4	0	11	7	VCVCCVCCVVC	VCVCVCV	2	4	0	0	a-b@-do-nE	4	V-CV-CV-CV	tiannodnaba	Enod@ba	a-ban-don-nait	VER	100	16	2.35	1.8	abandonner	1
abandonnant	ab@don@	abandonner	VER			110.87	128.45	1.15	9.93	par:pre;	1	1	0	11	7	VCVCCVCCVCC	VCVCVCV	2	4	0	0	a-b@-do-n@	4	V-CV-CV-CV	tnannodnaba	@nod@ba	a-ban-don-nant	VER	100	16	2.45	2.1	abandonner	1
abandonnas	ab@dona	abandonner	VER			110.87	128.45	0.00	0.14	ind:pas:2s;	1	3	0	10	7	VCVCCVCCVC	VCVCVCV	3	4	0	0	a-b@-do-na	4	V-CV-CV-CV	sannodnaba	anod@ba	a-ban-don-nas	VER	100	16	1.9	2	abandonner	1
abandonne	ab@dOn	abandonner	VER			110.87	128.45	24.04	15.54	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	1	3	0	9	6	VCVCCVCCV	VCVCVC	2	0	0	0	a-b@-dOn	3	V-CV-CVC	ennodnaba	nOd@ba	a-ban-don-ne	VER	100	16	1.85	2.1	abandonner	1
abandonnent	ab@dOn	abandonner	VER			110.87	128.45	2.44	2.64	ind:pre:3p;sub:pre:3p;	1	3	0	11	6	VCVCCVCCVCC	VCVCVC	1	0	0	0	a-b@-dOn	3	V-CV-CVC	tnennodnaba	nOd@ba	a-ban-don-nent	VER	100	16	2.35	2.1	abandonner	1
abandonner	ab@done	abandonner	VER			110.87	128.45	28.37	27.70	ind:pre:2p;inf;	1	10	1	10	7	VCVCCVCCVC	VCVCVCV	2	4	10	7	a-b@-do-ne	4	V-CV-CV-CV	rennodnaba	enod@ba	a-ban-don-ner	VER	100	16	1.85	1.8	abandonner	1
abandonnera	ab@dOn°Ra	abandonner	VER			110.87	128.45	1.52	0.81	ind:fut:3s;	1	2	0	11	9	VCVCCVCCVCV	VCVCVCVCV	0	3	0	0	a-b@-dO-n°-Ra	5	V-CV-CV-CV-CV	arennodnaba	aR°nOd@ba	a-ban-don-ne-ra	VER	100	16	2.25		abandonner	1
abandonnerai	ab@dOn°RE	abandonner	VER			110.87	128.45	2.39	0.41	ind:fut:1s;	1	4	0	12	9	VCVCCVCCVCVV	VCVCVCVCV	1	3	0	0	a-b@-dO-n°-RE	5	V-CV-CV-CV-CV	iarennodnaba	ER°nOd@ba	a-ban-don-ne-rai	VER	100	16	2.45		abandonner	1
abandonneraient	ab@dOn°RE	abandonner	VER			110.87	128.45	0.02	0.14	cnd:pre:3p;	1	4	0	15	9	VCVCCVCCVCVVVCC	VCVCVCVCV	0	3	0	0	a-b@-dO-n°-RE	5	V-CV-CV-CV-CV	tneiarennodnaba	ER°nOd@ba	a-ban-don-ne-raient	VER	100	16	3.4		abandonner	1
abandonnerais	ab@dOn°RE	abandonner	VER			110.87	128.45	0.93	0.27	cnd:pre:1s;cnd:pre:2s;	1	4	0	13	9	VCVCCVCCVCVVC	VCVCVCVCV	1	3	0	0	a-b@-dO-n°-RE	5	V-CV-CV-CV-CV	siarennodnaba	ER°nOd@ba	a-ban-don-ne-rais	VER	100	16	2.65		abandonner	1
abandonnerait	ab@dOn°RE	abandonner	VER			110.87	128.45	0.23	0.88	cnd:pre:3s;	1	4	0	13	9	VCVCCVCCVCVVC	VCVCVCVCV	1	3	0	0	a-b@-dO-n°-RE	5	V-CV-CV-CV-CV	tiarennodnaba	ER°nOd@ba	a-ban-don-ne-rait	VER	100	16	2.65		abandonner	1
abandonneras	ab@dOn°Ra	abandonner	VER			110.87	128.45	0.30	0.20	ind:fut:2s;	1	2	0	12	9	VCVCCVCCVCVC	VCVCVCVCV	1	3	0	0	a-b@-dO-n°-Ra	5	V-CV-CV-CV-CV	sarennodnaba	aR°nOd@ba	a-ban-don-ne-ras	VER	100	16	2.35		abandonner	1
abandonnerez	ab@dOn°Re	abandonner	VER			110.87	128.45	0.14	0.00	ind:fut:2p;	1	1	0	12	9	VCVCCVCCVCVC	VCVCVCVCV	0	3	0	0	a-b@-dO-n°-Re	5	V-CV-CV-CV-CV	zerennodnaba	eR°nOd@ba	a-ban-don-ne-rez	VER	100	16	2.6		abandonner	1
abandonneriez	ab@dOn°Rje	abandonner	VER			110.87	128.45	0.23	0.20	cnd:pre:2p;	1	1	0	13	10	VCVCCVCCVCVVC	VCVCVCVCYV	0	1	0	0	a-b@-dO-n°-Rje	5	V-CV-CV-CV-CYV	zeirennodnaba	ejR°nOd@ba	a-ban-don-ne-riez	VER	100	16	3.15	3.5	abandonner	1
abandonnerions	ab@dOn°Rj§	abandonner	VER			110.87	128.45	0.01	0.00	cnd:pre:1p;	1	1	0	14	10	VCVCCVCCVCVVCC	VCVCVCVCYV	0	1	0	0	a-b@-dO-n°-Rj§	5	V-CV-CV-CV-CYV	snoirennodnaba	§jR°nOd@ba	a-ban-don-ne-rions	VER	100	16	3.4	3.5	abandonner	1
abandonnerons	ab@dOn°R§	abandonner	VER			110.87	128.45	0.39	0.14	ind:fut:1p;	1	2	0	13	9	VCVCCVCCVCVCC	VCVCVCVCV	1	3	0	0	a-b@-dO-n°-R§	5	V-CV-CV-CV-CV	snorennodnaba	§R°nOd@ba	a-ban-don-ne-rons	VER	100	16	2.75		abandonner	1
abandonneront	ab@dOn°R§	abandonner	VER			110.87	128.45	0.41	0.27	ind:fut:3p;	1	2	0	13	9	VCVCCVCCVCVCC	VCVCVCVCV	1	3	0	0	a-b@-dO-n°-R§	5	V-CV-CV-CV-CV	tnorennodnaba	§R°nOd@ba	a-ban-don-ne-ront	VER	100	16	2.8		abandonner	1
abandonnes	ab@dOn	abandonner	VER			110.87	128.45	4.13	0.14	ind:pre:2s;sub:pre:2s;	1	3	0	10	6	VCVCCVCCVC	VCVCVC	4	0	0	0	a-b@-dOn	3	V-CV-CVC	sennodnaba	nOd@ba	a-ban-don-nes	VER	100	16	1.7	2.1	abandonner	1
abandonneurs	ab@don9R	abandonneur	NOM	m	p	0.00	0.07	0.00	0.07		1	1	0	12	8	VCVCCVCCVVCC	VCVCVCVC	0	1	0	0	a-b@-do-n9R	4	V-CV-CV-CVC	sruennodnaba	R9nod@ba	a-ban-don-neurs	NOM			2.75	2.4	abandonneur	1
abandonnez	ab@done	abandonner	VER			110.87	128.45	5.72	0.88	imp:pre:2p;ind:pre:2p;	1	10	0	10	7	VCVCCVCCVC	VCVCVCV	2	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	zennodnaba	enod@ba	a-ban-don-nez	VER	100	16	2	1.8	abandonner	1
abandonniez	ab@donje	abandonner	VER			110.87	128.45	0.14	0.14	ind:imp:2p;	1	1	0	11	8	VCVCCVCCVVC	VCVCVCYV	0	1	0	0	a-b@-do-nje	4	V-CV-CV-CYV	zeinnodnaba	ejnod@ba	a-ban-don-niez	VER	100	16	2.55	2.35	abandonner	1
abandonnions	ab@donj§	abandonner	VER			110.87	128.45	0.06	0.54	ind:imp:1p;	1	1	0	12	8	VCVCCVCCVVCC	VCVCVCYV	0	1	0	0	a-b@-do-nj§	4	V-CV-CV-CYV	snoinnodnaba	§jnod@ba	a-ban-don-nions	VER	100	16	2.85	2.25	abandonner	1
abandonnique	ab@donik	abandonnique	ADJ		s	0.00	0.07	0.00	0.07		1	1	1	12	8	VCVCCVCCVCVV	VCVCVCVC	0	0	9	7	a-b@-do-nik	4	V-CV-CV-CVC	euqinnodnaba	kinod@ba	a-ban-don-ni-que	ADJ	15	26	3.8	2.5	abandonner-ique	2
abandonnons	ab@don§	abandonner	VER			110.87	128.45	1.06	0.68	imp:pre:1p;ind:pre:1p;	1	1	0	11	7	VCVCCVCCVCC	VCVCVCV	0	4	0	0	a-b@-do-n§	4	V-CV-CV-CV	snonnodnaba	§nod@ba	a-ban-don-nons	VER	100	16	2.5	2.05	abandonner	1
abandonnâmes	ab@donam	abandonner	VER			110.87	128.45	0.00	0.27	ind:pas:1p;	1	1	0	12	8	VCVCCVCCVCVC	VCVCVCVC	0	0	0	0	a-b@-do-nam	4	V-CV-CV-CVC	semânnodnaba	manod@ba	a-ban-don-nâ-mes	VER	100	16	3.1	2.45	abandonner	1
abandonnât	ab@dona	abandonner	VER			110.87	128.45	0.00	0.34	sub:imp:3s;	1	3	0	10	7	VCVCCVCCVC	VCVCVCV	0	4	0	0	a-b@-do-na	4	V-CV-CV-CV	tânnodnaba	anod@ba	a-ban-don-nât	VER	100	16	2.35	2	abandonner	1
abandonnèrent	ab@donER	abandonner	VER			110.87	128.45	0.16	1.42	ind:pas:3p;	1	1	0	13	8	VCVCCVCCVCVCC	VCVCVCVC	0	1	0	0	a-b@-do-nER	4	V-CV-CV-CVC	tnerènnodnaba	REnod@ba	a-ban-don-nè-rent	VER	100	16	3.3	2.4	abandonner	1
abandonné	ab@done	abandonner	VER	m	s	110.87	128.45	22.56	23.92	par:pas;	2	10	0	9	7	VCVCCVCCV	VCVCVCV	2	4	9	7	a-b@-do-ne	4	V-CV-CV-CV	énnodnaba	enod@ba	a-ban-don-né	VER,ADJ	100	16	2.15	1.8	abandonner	1
abandonné	ab@done	abandonné	ADJ	m	s	8.27	24.39	3.84	8.45		2	10	1	9	7	VCVCCVCCV	VCVCVCV	2	4	9	7	a-b@-do-ne	4	V-CV-CV-CV	énnodnaba	enod@ba	a-ban-don-né	VER,ADJ	100	25	2.15	1.8	abandonné	1
abandonnée	ab@done	abandonner	VER	f	s	110.87	128.45	7.34	9.66	par:pas;	2	10	0	10	7	VCVCCVCCVV	VCVCVCV	1	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	eénnodnaba	enod@ba	a-ban-don-née	VER,ADJ	100	16	2.15	1.8	abandonner	1
abandonnée	ab@done	abandonné	ADJ	f	s	8.27	24.39	2.94	8.24		2	10	0	10	7	VCVCCVCCVV	VCVCVCV	1	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	eénnodnaba	enod@ba	a-ban-don-née	VER,ADJ	100	25	2.15	1.8	abandonné	1
abandonnées	ab@done	abandonner	VER	f	p	110.87	128.45	1.27	2.70	par:pas;	2	10	0	11	7	VCVCCVCCVVC	VCVCVCV	0	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	seénnodnaba	enod@ba	a-ban-don-nées	VER,ADJ	100	16	2.2	1.8	abandonner	1
abandonnées	ab@done	abandonné	ADJ	f	p	8.27	24.39	0.44	2.97		2	10	0	11	7	VCVCCVCCVVC	VCVCVCV	0	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	seénnodnaba	enod@ba	a-ban-don-nées	VER,ADJ	100	25	2.2	1.8	abandonné	1
abandonnés	ab@done	abandonner	VER	m	p	110.87	128.45	3.55	4.93	par:pas;	2	10	0	10	7	VCVCCVCCVC	VCVCVCV	3	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	sénnodnaba	enod@ba	a-ban-don-nés	VER,ADJ	100	16	2.05	1.8	abandonner	1
abandonnés	ab@done	abandonné	ADJ	m	p	8.27	24.39	1.05	4.73		2	10	0	10	7	VCVCCVCCVC	VCVCVCV	3	4	0	7	a-b@-do-ne	4	V-CV-CV-CV	sénnodnaba	enod@ba	a-ban-don-nés	VER,ADJ	100	25	2.05	1.8	abandonné	1
abandons	ab@d§	abandon	NOM	m	p	4.84	27.36	0.07	2.16		1	2	0	8	5	VCVCCVCC	VCVCV	0	1	0	5	a-b@-d§	3	V-CV-CV	snodnaba	§d@ba	a-ban-dons	NOM	95	22	2.3	1.95	abandonner	1
abaque	abak	abaque	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	6	4	VCVCVV	VCVC	0	6	4	4	a-bak	2	V-CVC	euqaba	kaba	a-ba-que	NOM	63	19	2	1.55	abaque	1
abasourdi	abazuRdi	abasourdi	ADJ	m	s	0.40	2.64	0.24	2.03		2	6	1	9	8	VCVCVVCCV	VCVCVCCV	0	0	9	8	a-ba-zuR-di	4	V-CV-CVC-CV	idruosaba	idRuzaba	a-ba-sour-di	ADJ,VER	100	11	2.95	3.1	abasourdi	1
abasourdi	abazuRdi	abasourdir	VER	m	s	0.55	2.97	0.35	2.09	par:pas;	2	6	0	9	8	VCVCVVCCV	VCVCVCCV	0	0	9	8	a-ba-zuR-di	4	V-CV-CVC-CV	idruosaba	idRuzaba	a-ba-sour-di	ADJ,VER	100	18	2.95	3.1	abasourdir	1
