8,académie,7,akademi
6,absent,4,aps@
10,absolument,8,apsolym@
1,a,1,a
6,absolu,6,apsoly
5,about,3,abu
6,abuser,5,abyze
7,aborder,6,abORde
6,abîmer,5,abime
6,abruti,6,abRyti
5,abîme,4,abim
8,accepter,7,aksEpte
10,abominable,9,abominabl
7,abandon,5,ab@d§
4,abus,3,aby
4,abbé,3,abe
9,abandonné,7,ab@done
6,abbaye,4,abei
7,abeille,4,abEj
16,accidentellement,12,aksid@tEl°m@
10,abonnement,7,abOn°m@
10,acceptable,9,aksEptabl
10,abandonner,7,ab@done
4,abri,4,abRi
7,absence,5,aps@s
7,absurde,6,apsyRd
8,absenter,6,aps@te
7,abdomen,7,abdomEn
9,abondance,6,ab§d@s
8,abattoir,7,abatwaR
6,aboyer,6,abwaje
7,abriter,6,abRite
7,abattre,5,abatR
6,accent,4,aks@
8,accident,6,aksid@
8,absorber,7,apsORbe
6,abattu,5,abaty
8,abstenir,8,apst°niR
5,abcès,4,apsE
7,abréger,6,abReZe
10,abstinence,8,apstin@s
10,accessible,8,aksesibl
9,absurdité,9,apsyRdite
6,abject,6,abZEkt
7,aboutir,6,abutiR
8,absinthe,5,aps5t
11,abomination,10,abominasj§
11,acceptation,10,aksEptasj§
8,abordage,7,abORdaZ
8,abaisser,5,abese
10,accidentel,9,aksid@tEl
6,abolir,6,aboliR
8,absoudre,6,apsudR
10,absolution,9,apsolysj§
11,abracadabra,11,abRakadabRa
10,abnégation,9,abnegasj§
10,aberration,8,abERasj§
5,abord,4,abOR
10,académique,8,akademik
5,abdos,4,abdo
4,able,3,abl
9,accentuer,7,aks@t8e
11,abstraction,10,apstRaksj§
8,accabler,6,akable
8,a priori,8,apRijoRi
8,abattage,6,abataZ
8,abstrait,6,apstRE
8,aberrant,5,abER@
10,absorption,9,apsORpsj§
6,abrupt,6,abRypt
6,abysse,4,abis
9,abat-jour,6,abaZuR
13,accessoiriste,11,akseswaRist
9,abdominal,9,abdominal
13,aboutissement,9,abutis°m@
8,abreuver,6,abR9ve
8,accalmie,6,akalmi
9,abolition,8,abolisj§
9,aboiement,6,abwam@
8,ablation,7,ablasj§
7,accablé,6,akable
9,abjection,8,abZEksj§
11,abréviation,10,abRevjasj§
6,abusif,6,abyzif
9,accablant,6,akabl@
9,abordable,8,abORdabl
9,abreuvoir,8,abR9vwaR
11,abaissement,7,abEs°m@
11,abondamment,7,ab§dam@
6,abonné,5,abone
7,abraxas,8,abRaksas
7,abonner,5,abone
10,a l'instar,7,al5staR
4,aber,3,abe
9,abasourdi,8,abazuRdi
7,abjurer,6,abZyRe
11,accablement,8,akabl°m@
9,accaparer,7,akapaRe
8,abrasion,7,abRazj§
7,absorbé,7,apsORbe
10,abécédaire,8,abesedER
10,abattement,7,abat°m@
6,acabit,5,akabi
6,acajou,5,akaZu
14,accessoirement,11,akseswaR°m@
10,abrogation,9,abRogasj§
11,abusivement,9,abyziv°m@
9,accession,7,aksEsj§
9,accidenté,8,aksid@te
9,acception,8,aksEpsj§
8,abatteur,6,abat9R
7,abattis,5,abati
11,abrutissant,8,abRytis@
11,absentéisme,9,aps@teizm
10,abstention,8,apst@sj§
