1
1

364 sine
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.18 0
0 0.42 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.18 0
0 0.42 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.18 0
0 0.42 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.18 0
0 0.42 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.42 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.42 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.42 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.06 1
0 0.06 0
0 0.18 1
0 0.06 0
0 0.06 1
0 0.18 0
0 0.18 1
0 0.06 0
0 0.18 1
0 0.06 0
