1
1

210 sine
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.1 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 0.7000000000000001 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.30000000000000004 0
0 0.30000000000000004 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.30000000000000004 1
0 0.1 0
0 0.30000000000000004 1
0 0.30000000000000004 0
0 1.0 0
